dav,swa
Idime ni ituku jha njumwa,Leo ni siku ya jumapili.
Vindo vako vaka tayari,Chakula chako kiko tayari.
Napoilwa kukwana naokumoni,Nimefurahi kukutana nawe.
Kusesowe kukotia makoto,Usikose kuuliza maswali.
Ini ni mwalimu wa kijomba,Mimi ni mwalimu wa kiingereza.
Nyumba yapo yeka kavui na moda,Nyumba yangu iko karibu na mto.
Nalomba kunitesie na chaghu ichi,Naomba unisaidie na kazi hii.
Charo chapo chedeka kilacha na chechokesha,Safari yangu ilikuwa ndefu na ya kuchosha.
Wana wawecheza kiwachenyi,Watoto wanacheza uwanjani.
Matuku ghose nadapoilwa ni kushoma vuo,Siku zote ninafurahia kusoma vitabu.
Lumalwakenyi ni ngelo ipoiye yehoresha,Jioni ni wakati mzuri wa kupumzika.
Sikira nicha madongozo ghapo,Sikiliza kwa makini maelekezo yangu.
Mwatulituli wapo wawepata shida ya mtandao,Simu yangu inapata shida ya mtandao.
Charo cha moda mbaha nichesisimua,Safari ya baharini ni ya kusisimua.
"Iruwa jikatua, ndoe yakaia na rangi ighokie","Jua likizama, anga linakuwa lenye rangi nzuri."
Wandu wefwana wiheshimiane,Watu wanapaswa kuheshimiana.
Wutamaduni ghwa isanga jedu ni wuzuri,Utamaduni wa nchi yetu ni tajiri.
Nedepoilwa ni kujifundisha kitetu tofauti,Nilipenda kujifunza lugha tofauti.
Wusalama gha barabarenyi ni muhimu saana,Usalama wa barabarani ni muhimu sana.
Matuku ghose nawebonya mazoezi ikesho,Siku zote ninafanya mazoezi asubuhi.
Mando ghamu ni ncha kubonya mazoezi,Wakati mwingine ni vizuri kula matunda.
Ituku jako jike na kupoilwa,Siku yako iwe na furaha.
Napiolwagha kusarigha michezo,Ninapenda kucheza michezo.
Familia ni muhimu katika maisha ghapo,Familia ni muhimu katika maisha yangu.
Ngelo ra mruke ni ra modo saana,Majira ya joto ni ya moto sana.
Napoilwa kusikira habari ripoiye,Nimefurahi kusikia habari njema.
Kazi yapo yawehitaji wumakini,Kazi yangu inahitaji umakini.
Chuo kibaa ni andu kupoiye kushoma,Chuo kikuu ni mahali pazuri kusoma.
Izangajedu jeko na andu kupoiye kwa wutalii,Nchi yetu ina maeneo mazuri ya utalii.
Iruwa jawewaka angenyi,Jua linaangaza angani.
Maghesho ghako ni muhimu,Mawazo yako ni muhimu.
Kunda jirani wako seji kujikunde,Penda jirani yako kama unavyojipenda.
Kuaeliwe kughua vilambo va fwana,Usisahau kununua vitu muhimu.
Tumia ngelo na marafiki wako,Tumia muda na marafiki zako.
Nadima kusikira lwaka lwa ndege,Naweza kusikia sauti ya ndege.
Kazi ipoiye yehitaji bidii,Kazi nzuri inahitaji bidii.
Lukundo ni hisia ipoie,Upendo ni hisia nzuri.
Bahari yeko na mawimbi ghipoiye,Bahari ina mawimbi mazuri.
Polisi wefwanwa kuhudumia jamii,Polisi wanapaswa kuhudumia jamii.
Wasafidi wadapoilwa nikusafiri kwa treni,Wasafiri wanapenda kusafiri kwa treni.
Navutilwa nu wutamaduni ghwa Asia,Nimevutiwa na utamaduni wa Asia.
Wana wfwana kusshoma kwa bidii,Watoto wanapaswa kusoma kwa bidii.
Kumbuka kunugha sheria,Kumbuka kufuata sheria.
Sikukuu ni ngelo yejumuika na familia,Sikukuu ni wakati wa kujumuika na familia.
Kwaki kwazamilwa,Kwa nini umekasirika?
Lukundo lwa mao ni lwa kipekee,Upendo wa mama ni wa kipekee.
Shimba ni nyamandu ibirie,Simba ni mnyama mkali.
Lukundo lwa imbiri,Upendo wa kwanza haukughairi.
Charo chipoiye cheko na malipo ghipoiye,Kazi nzuri ina malipo mazuri.
Deko na bahati kuka na afya ipoiye,Tuna bahati kuwa na afya njema.
Napoilwa ni kufuma shighadi ya isanga,Nimependa kusafiri nje ya nchi.
Nyerinyeri raweaka nakio,Nyota zinang'aa usiku.
