tier,edit_type,edit_detail,ratio,word_a,freq_a,example_a,word_b,freq_b,example_b,decision,preferred_form,notes
review,substitution,l/k,8.6,kwa,1418,Izangajedu jeko na andu kupoiye kwa wutalii,lwa,164,Nadima kusikira lwaka lwa ndege,,,
review,indel,',2.8,w'andu,898,W'andu w'iboilwagha ni kubonya maw'iw'i.,wandu,322,Wandu wefwana wiheshimiane,,,
review,indel,w,1.1,gha,526,Wusalama gha barabarenyi ni muhimu saana,ghwa,557,Wutamaduni ghwa isanga jedu ni wuzuri,,,
review,substitution,g/c,1.4,cha,367,Charo cha moda mbaha nichesisimua,gha,526,Wusalama gha barabarenyi ni muhimu saana,,,
review,substitution,a/g,2.7,aha,197,Ini aha nakoja kukaia moyo.,gha,526,Wusalama gha barabarenyi ni muhimu saana,,,
review,indel,a,3.4,agha,157,Agha ni matuku gha kutua mbai.,gha,526,Wusalama gha barabarenyi ni muhimu saana,,,
review,indel,i,1.5,cha,367,Charo cha moda mbaha nichesisimua,chia,237,Sanaa ni chia yejieleza,,,
review,indel,w,3.8,mana,123,Msinde mana.,mwana,462,W'eni mwana mkelie inyo.,,,
review,indel,w,1.3,andu,252,Chuo kibaa ni andu kupoiye kushoma,wandu,322,Wandu wefwana wiheshimiane,,,
review,substitution,a/c,1.9,aha,197,Ini aha nakoja kukaia moyo.,cha,367,Charo cha moda mbaha nichesisimua,,,
review,indel,m,4.8,mwana,462,W'eni mwana mkelie inyo.,wana,97,Wana wawecheza kiwachenyi,,,
review,substitution,m/a,1.2,andu,252,Chuo kibaa ni andu kupoiye kushoma,mndu,301,Kila mndu wawehitaji rafiki wa loli,,,
review,substitution,n/k,5.5,mwaka,84,Mwaka mbishi ni nafasi yezoya wuwishi,mwana,462,W'eni mwana mkelie inyo.,,,
review,indel,u,1.3,mndu,301,Kila mndu wawehitaji rafiki wa loli,mundu,234,Kula mundu unyonyorelo mudinyi.,,,
review,substitution,g/d,1.0,andu,252,Chuo kibaa ni andu kupoiye kushoma,angu,262,Huwu loli kunilowua angu kwawanikalia.,,,
review,substitution,m/h,8.3,hachi,55,Mzuri hachi.,machi,455,Kuseliwe kunywa machi gha kutosha,,,
review,substitution,g/c,8.8,machi,455,Kuseliwe kunywa machi gha kutosha,maghi,52,Maghi ana ghachika.,,,
review,substitution,u/i,2.3,kila,346,Poilwa ni kila ngelo y amaisha,kula,153,Nyonyi ridima kusafiri kula,,,
review,substitution,n/d,2.9,w'ada,120,W'adaw'ida w'ada poilwa ni chai,w'ana,342,Ngawifashafasha vangu w'ana w'iko na tabia isafwane.,,,
review,substitution,i/a,3.1,kala,113,Sere yake idadua kwa kala na kala.,kila,346,Poilwa ni kila ngelo y amaisha,,,
review,indel,i,4.3,cha,367,Charo cha moda mbaha nichesisimua,chai,85,Chai chapo wele chaenda hao chikoghe anyaa.,,,
review,indel,',3.5,w'ana,342,Ngawifashafasha vangu w'ana w'iko na tabia isafwane.,wana,97,Wana wawecheza kiwachenyi,,,
review,substitution,n/k,3.5,w'aka,97,W'aka w'eka na ghawo.,w'ana,342,Ngawifashafasha vangu w'ana w'iko na tabia isafwane.,,,
review,substitution,m/o,1.5,mka,173,Mka oko na kwaw'o.,oka,264,Oka na skulu yake.,,,
review,substitution,e/o,1.9,ngelo,272,Lumalwakenyi ni ngelo ipoiye yehoresha,ngolo,140,Kuasefo ngolo tima sena,,,
review,substitution,n/j,6.5,w'aja,53,Paulo na w'aja w'adumi w'azima.,w'ana,342,Ngawifashafasha vangu w'ana w'iko na tabia isafwane.,,,
review,substitution,l/r,7.7,kila,346,Poilwa ni kila ngelo y amaisha,kira,45,Ituku ijo jiwuye kira.,,,
review,substitution,j/n,2.2,iji,114,Iji w'aw'onyera lubando uchaainjwa.,ini,248,Ini ni mwalimu wa kij'omba,,,
review,substitution,h/n,2.3,ihi,109,Mruke ni ghwa ighu nadime ihi,ini,248,Ini ni mwalimu wa kij'omba,,,
review,indel,g,1.3,agha,157,Agha ni matuku gha kutua mbai.,aha,197,Ini aha nakoja kukaia moyo.,,,
review,substitution,o/a,3.0,oka,264,Oka na skulu yake.,oko,88,Mlungu oko moyo.,,,
review,substitution,n/a,6.0,madu,50,Uhu oka na madu ghesikira usikire.,mndu,301,Kila mndu wawehitaji rafiki wa loli,,,
review,substitution,a/e,1.1,sana,164,Safari yedu yesafiri kuenda mbugenyi yekoghe yesisimua sana,sena,181,Kuasefo ngolo tima sena,,,
review,substitution,m/h,1.3,hao,195,Kio ichi chose kuendaa hao?,mao,148,Lukundo lwa mao ni lwa kipekee,,,
review,substitution,v/k,1.2,kilambo,181,Hakuna kilambo chipoiye sa kisekesho,vilambo,155,Kuaeliwe kughua vilambo va fwana,,,
