edit_type,edit_detail,ratio,word_a,freq_a,example_a,word_b,freq_b,example_b,decision,preferred_form,notes
substitution,a/k,23.2,awa,61,Awa wikuserie wichapata maboilo.,kwa,1418,Izangajedu jeko na andu kupoiye kwa wutalii,,,
indel,u,78.8,kuwa,18,Kuwa mbogha,kwa,1418,Izangajedu jeko na andu kupoiye kwa wutalii,,,
substitution,s/a,472.7,kwa,1418,Izangajedu jeko na andu kupoiye kwa wutalii,kws,3,Eka yakaiagha ilagho jha mana kuboisa chama chetesia KWS,,,
substitution,o/k,472.7,kwa,1418,Izangajedu jeko na andu kupoiye kwa wutalii,owa,3,Chienyi kwake owa midi kufuma Wuimgereza,,,
substitution,k/r,472.7,kwa,1418,Izangajedu jeko na andu kupoiye kwa wutalii,rwa,3,Rwa nguwo ra ishima,,,
substitution,a/u,13.4,wandu,1221,Wandu wefwana wiheshimiane,wundu,91,Narumaghia masholio kwa wundu ghwako.,,,
indel,i,135.7,wandu,1221,Wandu wefwana wiheshimiane,wanidu,9,Sharon wabonyere wanidu winileghe putu.,,,
indel,m,152.6,mwandu,8,Mwandu wawecha idime.,wandu,1221,Wandu wefwana wiheshimiane,,,
indel,e,152.6,wandu,1221,Wandu wefwana wiheshimiane,wanedu,8,Wanedu waboilwa ni sarigho.,,,
substitution,m/w,244.2,mandu,5,"Wachaghirie mandu adadu kwa womi wazima, uko si kushughunuka?",wandu,1221,Wandu wefwana wiheshimiane,,,
substitution,i/u,305.2,wandi,4,Wandi wamu walaghashire maisha.,wandu,1221,Wandu wefwana wiheshimiane,,,
substitution,g/d,407.0,wandu,1221,Wandu wefwana wiheshimiane,wangu,3,Wangu wekundika witesiana msimu ghwa wasi.,,,
indel,m,1.1,mwana,462,Weni mwana mkelie inyo.,wana,439,Wana wawecheza kiwachenyi,,,
substitution,j/g,1.9,gha,526,Wusalama gha barabarenyi ni muhimu saana,jha,274,Idime ni ituku jha njumwa,,,
substitution,c/j,1.3,cha,367,Charo cha moda mbaha nichesisimua,jha,274,Idime ni ituku jha njumwa,,,
substitution,w/m,5.9,mundu,537,Kila mundu wawehitaji rafiki wa loli,wundu,91,Narumaghia masholio kwa wundu ghwako.,,,
substitution,d/n,2.5,wada,174,Da dibonyaa wada.,wana,439,Wana wawecheza kiwachenyi,,,
substitution,s/w,2.7,sana,164,Safari yedu yesafiri kuenda mbugenyi yekoghe yesisimua sana,wana,439,Wana wawecheza kiwachenyi,,,
substitution,s/g,14.4,ghwa,562,Wutamaduni ghwa isanga jedu ni wuzuri,shwa,39,Iji igare jadima kwa shwa sana.,,,
substitution,u/w,112.4,ghua,5,Naenda ghua Mwemba,ghwa,562,Wutamaduni ghwa isanga jedu ni wuzuri,,,
substitution,i/w,140.5,ghia,4,"Na ngera kama niwupande ghobonya kama zoghori huwu wakati wandu wawa vindo vawo, mwauzira masanga ghia na ghia?",ghwa,562,Wutamaduni ghwa isanga jedu ni wuzuri,,,
substitution,k/n,3.5,waka,126,Washomi waka wengi wa mashomo tofauti,wana,439,Wana wawecheza kiwachenyi,,,
substitution,c/a,1.9,aha,197,Ini aha nakoja kukaia moyo.,cha,367,Charo cha moda mbaha nichesisimua,,,
substitution,m/w,3.6,mana,123,Msinde mana.,wana,439,Wana wawecheza kiwachenyi,,,
substitution,y/d,41.3,mundu,537,Kila mundu wawehitaji rafiki wa loli,munyu,13,Vindo ndevina munyu,,,
indel,k,53.7,mkundu,10,Mwasare wapo udapoilwa na nguwo ra mkundu,mundu,537,Kila mundu wawehitaji rafiki wa loli,,,
substitution,k/n,5.5,mwaka,84,Mwaka mbishi ni nafasi yezoya wuwishi,mwana,462,Weni mwana mkelie inyo.,,,
substitution,a/u,107.4,mandu,5,"Wachaghirie mandu adadu kwa womi wazima, uko si kushughunuka?",mundu,537,Kila mundu wawehitaji rafiki wa loli,,,
substitution,e/a,65.8,gha,526,Wusalama gha barabarenyi ni muhimu saana,ghe,8,Wazazi wafunya malengo ghe teseia.,,,
indel,o,75.1,gha,526,Wusalama gha barabarenyi ni muhimu saana,ogha,7,Kaenda Mombasa na kwende baharinyi kwa ogha na machi gha chumbi,,,
substitution,u/h,87.7,gha,526,Wusalama gha barabarenyi ni muhimu saana,gua,6,Mao waenda gua mbogha kinyangeyi.,,,
substitution,o/a,87.7,gha,526,Wusalama gha barabarenyi ni muhimu saana,gho,6,Ihii nyumba eko na wulalo gho horesha.,,,
indel,u,105.2,gha,526,Wusalama gha barabarenyi ni muhimu saana,ghua,5,Naenda ghua Mwemba,,,
indel,i,131.5,gha,526,Wusalama gha barabarenyi ni muhimu saana,ghia,4,"Na ngera kama niwupande ghobonya kama zoghori huwu wakati wandu wawa vindo vawo, mwauzira masanga ghia na ghia?",,,
substitution,w/n,5.1,wana,439,Wana wawecheza kiwachenyi,wawa,86,Neenda roghua wawa wapo nikamdwaia mbogha.,,,
substitution,d/g,1.0,andu,252,Chuo kibaa ni andu kupoiye kushoma,angu,262,Huwu loli kunilowua angu kwawanikalia.,,,
substitution,h/m,8.3,hachi,55,Mzuri hachi.,machi,455,Kuseliwe kunywa machi gha kutosha,,,
substitution,g/c,8.8,machi,455,Kuseliwe kunywa machi gha kutosha,maghi,52,Maghi ana ghachika.,,,
indel,v,23.0,indo,21,Kusedile hata indo jimweri,vindo,483,Vindo vako vaka tayari,,,
substitution,k/v,24.1,kindo,20,Sikunde kindo chingi nekunda lukundo.,vindo,483,Vindo vako vaka tayari,,,
substitution,j/n,6.9,waja,64,Paulo na waja wadumi wazima.,wana,439,Wana wawecheza kiwachenyi,,,
substitution,i/u,2.3,kila,346,Poilwa ni kila ngelo y amaisha,kula,153,Nyonyi ridima kusafiri kula,,,
substitution,m/b,12.8,bwana,36,Kukaia na irumirio na Bwana.,mwana,462,Weni mwana mkelie inyo.,,,
substitution,u/o,161.0,vindo,483,Vindo vako vaka tayari,vindu,3,Wandu wetonywa ni mada wendawona vindu ivo visingie.,,,
substitution,u/i,16.2,machi,455,Kuseliwe kunywa machi gha kutosha,machu,28,Inja machu ghako.,,,
substitution,w/a,24.3,maana,19,Wufundi ni wujuzi ghwa maana,mwana,462,Weni mwana mkelie inyo.,,,
substitution,m/f,33.0,fwana,14,Kuaeliwe kughua vilambo va fwana,mwana,462,Weni mwana mkelie inyo.,,,
indel,b,12.2,bwana,36,Kukaia na irumirio na Bwana.,wana,439,Wana wawecheza kiwachenyi,,,
substitution,j/a,1.4,aha,197,Ini aha nakoja kukaia moyo.,jha,274,Idime ni ituku jha njumwa,,,
substitution,a/o,51.3,mwana,462,Weni mwana mkelie inyo.,mwano,9,Obonya mwano.,,,
substitution,y/n,13.7,wana,439,Wana wawecheza kiwachenyi,waya,32,Orekoghe na wwana ghodeda ghuseko na waya.,,,
substitution,m/n,41.4,machi,455,Kuseliwe kunywa machi gha kutosha,nachi,11,Nachi ozerwa wei wabonya miujiza ya tee.,,,
indel,d,154.0,mwana,462,Weni mwana mkelie inyo.,mwanda,3,Isanga jedu jha Mwanda jechaghaluka,,,
substitution,m/k,154.0,kwana,3,Dedeka dikwane lakini ndediche kwana,mwana,462,Weni mwana mkelie inyo.,,,
substitution,a/i,3.1,kala,113,Sere yake idadua kwa kala na kala.,kila,346,Poilwa ni kila ngelo y amaisha,,,
substitution,v/w,24.4,vana,18,Vana vakongodwa,wana,439,Wana wawecheza kiwachenyi,,,
substitution,o/a,27.4,wana,439,Wana wawecheza kiwachenyi,wona,16,Wekunda kuenda mlimenyi wende wona masaka.,,,
indel,f,31.4,fwana,14,Kuaeliwe kughua vilambo va fwana,wana,439,Wana wawecheza kiwachenyi,,,
indel,i,4.3,cha,367,Charo cha moda mbaha nichesisimua,chai,85,Chai chapo wele chaenda hao chikoghe anyaa.,,,
substitution,k/w,33.8,kana,13,Nalomba kunidumie aghaje magome gheenda whughangenyi nakunda nifume aha kiramka kana.,wana,439,Wana wawecheza kiwachenyi,,,
substitution,b/w,36.6,bana,12,Neka na wada bana,wana,439,Wana wawecheza kiwachenyi,,,
indel,w,54.9,ana,8,Maghi ana ghachika.,wana,439,Wana wawecheza kiwachenyi,,,
indel,g,109.8,wana,439,Wana wawecheza kiwachenyi,wanga,4,Wanga Wana wefaa winyo uji.,,,
indel,k,146.3,kwana,3,Dedeka dikwane lakini ndediche kwana,wana,439,Wana wawecheza kiwachenyi,,,
indel,n,146.3,waa,3,Ini ni shabidi waa michezo,wana,439,Wana wawecheza kiwachenyi,,,
substitution,v/n,146.3,wana,439,Wana wawecheza kiwachenyi,wava,3,Kwaru wava wana wadadu,,,
substitution,n/l,146.3,wala,3,Nausikira wala neusikira.,wana,439,Wana wawecheza kiwachenyi,,,
indel,u,1.7,jha,274,Idime ni ituku jha njumwa,ujha,165,Mwanafunzi upoiye ni ujha uko na tabia ripoiye na ishima jha hali ya ighu,,,
substitution,m/o,1.5,mka,173,Mka oko na kwawo.,oka,264,Oka na skulu yake.,,,
substitution,o/e,1.9,ngelo,272,Lumalwakenyi ni ngelo ipoiye yehoresha,ngolo,140,Kuasefo ngolo tima sena,,,
substitution,r/l,7.7,kila,346,Poilwa ni kila ngelo y amaisha,kira,45,Ituku ijo jiwuye kira.,,,
indel,o,20.4,cha,367,Charo cha moda mbaha nichesisimua,ocha,18,Ocha kwapo ighuo,,,
indel,n,40.8,cha,367,Charo cha moda mbaha nichesisimua,ncha,9,Mando ghamu ni ncha kubonya mazoezi,,,
